Year,Region,KerosenePrice_Assumed_Year2005USDPerkg,CarbonPrice_Assumed_Year2005USDPerkg,EffectiveKerosenePrice_WithCarbon_Year2005USDPerkg,Domestic_Fuel_Mt,International_Fuel_Mt,Domestic_RPK,International_RPK,Domestic_Hold_Freight_RTK,International_Hold_Freight_RTK,Domestic_Freighter_RTK,International_Freighter_RTK,Domestic_Passenger_Flights,International_Passenger_Flights,Domestic_Freighter_Flights,International_Freighter_Flights,Domestic_NOx_kt,International_NOx_kt,Domestic_AKM,International_AKM
2005.0,MEX,0.464973089,0.0,0.464973089,0.6068793956947047,1.2959426775341853,14555727924.0,31250190172.0,22574073.0,254647176.0,0.0,287311114.0,219300.0,170982.0,0.0,2976.0,6.053771096048877,14.878044944722205,171980413.0,285940416.0
2005.0,CHL,0.464973089,0.0,0.464973089,0.06914934505039128,0.5901996016036719,1715411098.0,10497180422.0,14064529.0,180272973.0,0.0,571187419.0,21408.0,48146.0,0.0,11422.0,0.7291610649845097,7.202909493120387,18270057.0,113872790.0
2005.0,ENE,0.464973089,0.0,0.464973089,0.013918238780206593,0.2918411655300588,229074518.0,6760936789.0,489495.0,41472533.0,0.0,135265461.0,9814.0,55296.0,0.0,12508.0,0.15332155100622913,2.964805784620694,3331890.0,86962516.0
2005.0,ENW,0.464973089,0.0,0.464973089,1.8830493372042838,11.787975011146045,29596583898.0,279431909358.0,7977516.0,4030605584.0,0.0,1919727992.0,688914.0,1855970.0,0.0,22625.0,27.693981305852503,146.02629510356928,253911369.0,2121353274.0
2005.0,EUE,0.464973089,0.0,0.464973089,0.01590655860593415,1.1694634441696508,253763450.0,30736879594.0,349722.0,141811804.0,137032.0,78302675.0,10236.0,261186.0,90.0,12534.0,0.18579744149701583,12.43362664360393,3414488.0,317481796.0
2005.0,EUW,0.464973089,0.0,0.464973089,0.6114083464125315,19.47614500419877,11722216341.0,442736064004.0,8588927.0,5029112837.0,2764.0,9922531442.0,328362.0,2236617.0,1.0,145727.0,7.385613992739309,229.3657264424255,134268578.0,4155514505.0
2005.0,EUM,0.464973089,0.0,0.464973089,3.2018576927330287,15.475976901419926,74584083914.0,372565416125.0,77787255.0,3238313510.0,0.0,4791261264.0,955707.0,2115839.0,0.0,67737.0,39.48063077108236,181.8136218014115,660300147.0,3417165653.0
2005.0,MEA,0.464973089,0.0,0.464973089,0.22490106473742344,8.930538497257658,5284167398.0,101529468833.0,46949224.0,1739611774.0,0.0,16002704503.0,57602.0,422682.0,0.0,385133.0,3.046879208485734,106.24123047513422,41255602.0,1542899009.0
2005.0,MDA,0.464973089,0.0,0.464973089,0.09378241844734703,2.527706809585652,1716711279.0,51194106015.0,18895941.0,746605296.0,0.0,2127763184.0,44908.0,282992.0,0.0,57132.0,1.283460447492871,28.03188521444099,17146782.0,589131938.0
2006.0,AFE,0.464973089,0.0,0.464973089,0.0064043247441532,1.4755814831532916,68372271.9272461,23817827638.1875,450810.74242019653,342617833.7714844,32.40000000037253,1870340560.599121,5166.490735173225,96601.23717069626,0.0,39657.407236635685,0.0794548707017384,17.790180636540754,1155063.6791687012,284557414.62402344
2006.0,AFN,0.464973089,0.0,0.464973089,0.0,1.0437975237909995,0.0,24258047438.875,0.0,279185693.41796875,0.0,596042021.1552734,0.0,132556.68078136444,0.0,16306.528389960527,0.0,11.758973113319371,0.0,252191275.28808594
2006.0,AFW,0.464973089,0.0,0.464973089,0.0,0.5209682117965713,0.0,12645132685.03125,0.0,142213254.48364258,0.0,183950054.87683105,0.0,69181.65510308743,0.0,3567.015024535358,0.0,5.729342178063234,0.0,128210314.1899414
2006.0,AFZ,0.464973089,0.0,0.464973089,0.2247859971030266,1.3018864864607167,6651614945.0,30094324539.84375,47534173.6875,427223998.4682617,100215.3141708374,389167105.16503906,60154.82639312744,75720.33747017384,10.120000000111759,1586.6649674894288,3.373836932820268,17.357138939973083,59685991.01171875,193391385.85009766
2006.0,NIG,0.464973089,0.0,0.464973089,0.06069943172951753,0.29525186483806465,1383258022.5,6018907888.0,3928321.3653564453,55708813.681640625,7694.099999904633,202926323.078125,26240.712354660034,28338.390298843384,1.7999999999883585,1343.5285714268684,0.8403900009579957,3.6142985065234825,14511410.750976562,53170071.869140625
2006.0,RUS,0.464973089,0.0,0.464973089,0.5388992942171171,2.600950272171758,12162422713.0,57090333848.0,63195660.875,501565562.8125,518678747.09375,2838931682.875,75979.37435531616,243788.27574157715,41574.60000038147,60683.922985076904,6.757948675658554,30.099947896786034,160603721.75,672321430.125
2006.0,ASC,0.464973089,0.0,0.464973089,0.01476288096546341,0.5889333525228722,450699464.78125,13058833617.125,6030670.444580078,177390928.02685547,30899.699999809265,591594980.8203125,3917.8088805675507,63417.7278842926,2.699999999953434,17827.11538231373,0.2075234477815684,6.625941287231399,4161533.1536865234,156563926.7705078
2006.0,ASE,0.464973089,0.0,0.464973089,0.4239636230568067,8.998875320992738,11296458294.105469,193190403030.875,80490923.3048706,3660999964.8967285,279447.2999999523,4950465200.010895,148030.40114951134,450811.5590093136,30.600000000034925,66653.94331714918,6.182867112602253,116.55258093510929,103697008.85644531,1401432164.746582
2006.0,CHN,0.464973089,0.0,0.464973089,3.4439684237586334,8.06292319800923,62825784250.0,91643372393.0625,1495171658.125,2973755445.0429688,3523776844.5,14688018582.996094,523761.995513916,348540.9093589783,320925.5999908447,503110.25666594505,41.80547983199358,105.02208030136535,866987497.09375,1302787288.444336
2006.0,IDN,0.464973089,0.0,0.464973089,0.941587410396096,2.1522189489915036,24668554403.3125,49674084073.5,460574349.7421875,568495900.2773438,22736093.849197388,813305901.5898438,280011.14132738113,276728.0535411835,5649.488722898066,17858.42502808571,12.809012765763327,25.82832778384909,231761780.78076172,458639317.4140625
2006.0,IND,0.464973089,0.0,0.464973089,0.523783237716998,1.5837199821835384,12512783857.5,39635709876.0,273647939.34375,720165948.09375,249309344.703125,440019528.5625,115583.97245407104,137158.2430114746,23607.0,1867.7904893159866,7.294089050032198,19.441134931519628,133565285.5234375,308855413.84375
2006.0,ASO,0.464973089,0.0,0.464973089,0.08671349305586773,1.6152437361670309,2517524634.125,28700461754.875,6920264.028808594,503987638.4248047,22045.305903434753,2036279783.0,22837.95611190796,103668.18497729301,1.7999999999883585,53894.86797821522,1.1296605297829956,19.06933740596287,23493622.141601562,338779442.51171875
2006.0,JPN,0.464973089,0.0,0.464973089,2.1686919656349346,5.679338324349374,54923076650.0,124832608972.0,730665217.375,2884255141.875,0.0,2690515651.5,590740.3285827637,273503.9051208496,0.0,61372.12759208679,32.36630381271243,74.77981778234243,464358122.65625,885003313.8125
2006.0,SKT,0.464973089,0.0,0.464973089,0.40733240225017653,4.63220714230556,7162112853.0625,63668512011.0,43001349.389923096,2124189544.6875,55635.29999998212,6753638727.25,232100.94737243652,196108.84241104126,16.200000000186265,364753.4155654907,6.16955928405514,59.97402022080496,79485283.40917969,733639200.6328125
2006.0,ANZ,0.464973089,0.0,0.464973089,1.284604920012498,3.738315420196159,35224772397.0,88977734108.0,116688622.92675781,932182598.984375,341438.3999938965,760097907.125,279188.24846076965,215826.34994125366,22.5,2561.8491994142532,16.923180131881963,47.875770789105445,298063426.9902344,603682713.4257812
2006.0,USA,0.464973089,0.0,0.464973089,27.973566284137405,28.31946514604533,686839841925.0386,679040926117.0312,4924243542.735928,8011244273.667969,7254482682.75,8061075100.247559,6211664.205178618,2527362.4388546944,817038.2775268555,32547.164264589548,302.3232385201354,340.368578841415,8010661975.032242,6934325127.984375
2006.0,CAN,0.464973089,0.0,0.464973089,0.4665486293233698,1.5473863325896673,11908021953.0,38301066602.0,85797776.4140625,634168623.125,241585482.53125,311538753.734375,141680.45043182373,160086.08457183838,39058.256074905396,1566.5391731262207,5.858192414976656,18.219439269043505,175227135.0546875,338750521.03125
2006.0,LAM,0.464973089,0.0,0.464973089,0.2742938532077943,4.801410232517242,6128618431.501953,118145523277.4043,36978216.14215881,1114235858.0344353,1838585.7432776117,1221452361.9337564,132832.4576254338,674977.8573448658,4.599999999976717,47846.79567961674,3.679984245750461,56.84575760703956,67829573.81348038,1084134951.9242249
2006.0,BRA,0.464973089,0.0,0.464973089,1.2614153443137184,1.8161275981692597,32482127170.0,43123279252.0,445851444.8125,625288599.40625,823632.8469543457,277300182.84375,378271.2625732422,231536.40993499756,117.16923076659441,831.6711621284485,15.427305832505226,24.24970760382712,325999357.28125,327561868.75
2006.0,MEX,0.464973089,0.0,0.464973089,0.5140108503546799,1.4138709343387745,14137660140.5,35205912163.0,24052514.359375,286401229.921875,27270.0,260037786.5703125,218827.23184204102,181004.91690063477,6.300000000046566,2321.1612627506256,6.277588246855885,16.79563090298325,166970543.65625,309787420.546875
2006.0,CHL,0.464973089,0.0,0.464973089,0.08277474566784804,0.671743265906116,2456761312.25,13007602845.0,15818489.863769531,233510089.953125,31680.0,560413386.328125,28806.335779190063,57020.59505653381,5.399999999906868,11342.525725841522,1.06719312936184,8.67102876631543,25671208.169921875,128803239.99609375
2006.0,ENE,0.464973089,0.0,0.464973089,0.013688514548675812,0.3150209108607669,259370487.83984375,7887688590.625,570423.2241153717,56693765.39331055,18.899999999441206,147537467.7294922,10573.306650400162,60753.911039829254,0.0,12738.732646882534,0.1817203428472567,3.5784927957574837,3617190.897644043,95721489.95751953
2006.0,ENW,0.464973089,0.0,0.464973089,1.6491121321073479,11.691089001193177,28258147725.648438,291242517823.0,8300849.408935547,4238144312.3271484,9834.795319175348,1677170725.8867188,658106.0576777458,1796002.939148903,2.7999999999883585,20394.67788541317,27.25190117672173,152.9863907037652,247656034.88568115,2143671816.0507812
2006.0,EUE,0.464973089,0.0,0.464973089,0.01478993610191992,1.1980915709882538,289390895.3515625,33477151900.1875,396407.3381462097,156312782.36950684,147429.25131425634,115896464.50801086,12201.742117702961,275795.9965558052,89.16330275312066,12440.397915691137,0.22201502632469783,13.94525891286321,3987857.9432678223,338469669.5810547
2006.0,EUW,0.464973089,0.0,0.464973089,0.47849253521701485,18.718420979232178,11006414888.282227,447463191533.5,8300995.684401438,5262174557.622131,6331.089778441528,9543065996.371338,285918.360093534,2209504.5934410095,1.7999999999883585,142127.42946335673,6.954732401479305,235.20657571963966,124786898.0798645,4100128069.171875
2006.0,EUM,0.464973089,0.0,0.464973089,2.9146414363649455,15.400545731696184,75559476623.82812,392644056004.0,78379959.77450562,3573564879.242676,49537681.330777645,4420798873.501038,962196.6838726997,2119412.759563923,22.199999999342253,65022.54687055573,40.625845186717925,193.91749148842064,666512869.4924316,3470048611.973633
