Year,Region,RegionIndex,KER_price ($/kg),CO2_price ($/kgCO2)
2010,AFE,0,0.47292767,0.0
2010,AFN,1,0.47292767,0.0
2010,AFW,2,0.47292767,0.0
2010,AFZ,3,0.47292767,0.0
2010,NIG,4,0.47292767,0.0
2010,RUS,5,0.446413024,0.0
2010,ASC,6,0.459134501,0.0
2010,ASE,7,0.459134501,0.0
2010,CHN,8,0.467255195,0.0
2010,IDN,9,0.459134501,0.0
2010,IND,10,0.400370813,0.0
2010,ASO,11,0.459134501,0.0
2010,JPN,12,0.467649192,0.0
2010,SKT,13,0.427034994,0.0
2010,ANZ,14,0.4611861,0.0
2010,USA,15,0.489422293,0.0
2010,CAN,16,0.478523066,0.0
2010,LAM,17,0.479265936,0.0
2010,BRA,18,0.479265936,0.0
2010,MEX,19,0.487844793,0.0
2010,CHL,20,0.479265936,0.0
2010,ENE,21,0.473101945,0.0
2010,ENW,22,0.473101945,0.0
2010,EUE,23,0.473354382,0.0
2010,EUW,24,0.473354382,0.0
2010,EUM,25,0.473354382,0.0
2010,MEA,26,0.450168669,0.0
2010,MDA,27,0.450168669,0.0
2010,UK,28,0.473354378,0.0
2011,AFE,0,0.487449888,0.0
2011,AFN,1,0.487449888,0.0
2011,AFW,2,0.487449888,0.0
2011,AFZ,3,0.487449888,0.0
2011,NIG,4,0.487449888,0.0
2011,RUS,5,0.465943503,0.0
2011,ASC,6,0.47852981,0.0
2011,ASE,7,0.47852981,0.0
2011,CHN,8,0.486785674,0.0
2011,IDN,9,0.47852981,0.0
2011,IND,10,0.425042928,0.0
2011,ASO,11,0.47852981,0.0
2011,JPN,12,0.475602053,0.0
2011,SKT,13,0.437768851,0.0
2011,ANZ,14,0.480615963,0.0
2011,USA,15,0.504824977,0.0
2011,CAN,16,0.50107322,0.0
2011,LAM,17,0.495853336,0.0
2011,BRA,18,0.495853336,0.0
2011,MEX,19,0.503344567,0.0
2011,CHL,20,0.495853336,0.0
2011,ENE,21,0.489660155,0.0
2011,ENW,22,0.489660155,0.0
2011,EUE,23,0.489490486,0.0
2011,EUW,24,0.489490486,0.0
2011,EUM,25,0.489490486,0.0
2011,MEA,26,0.469414742,0.0
2011,MDA,27,0.469414742,0.0
